state,x,y
Andhra Pradesh,-81,-205 
Arunachal Pradesh,264,129 
Assam,214,76 
Bihar,73,55 
Chhattisgarh,-11,-36 
Goa,-190,-194 
Gujarat,-255,-8 
Haryana,-137,152 
Himachal Pradesh,-118,232 
Jharkhand,59,10 
Jammu and Kasmir,-144,306 
Karnataka,-155,-217 
Kerala,-139,-302 
Madhya Pradesh,-114,-2 
Maharashtra,-164,-94 
Manipur,274,37 
Meghalaya,178,53 
Mizoram,239,-20 
Nagaland,277,77 
Odisha,41,-73 
Punjab,-165,203 
Rajasthan,-198,78 
Sikkim,139,106 
Tamil Nadu,-93,-319 
Telangana,-84,-134 
Tripura,207,8 
Uttarakhand,-61,176 
Uttar Pradesh,-58,106 
West Bengal,124,-22 
